id;code;name;logo_url
1;d'avec;quand vlan;sécher cocorico au-dehors
2;si bien que peu doucement;poser tellement;membre titulaire jeune enfant
3;davantage;consulter;ah
4;contre au défaut de confirmer;assurément;avertir
5;bientôt antagoniste;biathlète aussitôt que adepte;sauvage
6;joliment désagréable;essayer hi;pendant que aïe impromptu
7;gigantesque triste;devant;de façon que
8;terne au cas où aussitôt que;athlète habile cuicui;aux alentours de police
9;maigre commis de cuisine foule;croâ redonner;croâ
10;porte-parole magnifique;parlementaire y;commis de cuisine de sorte que apparemment
