id;nom;code;country_code;logo_url;tax_pay_in;tax_pay_out
1;au cas où quant à;quand ouin prou;PG;vétuste;24189.24;32450.96
2;avant que guide chut;maintenant;UM;ouf;12864.3;15778.76
3;avant-hier pacifique sauf;accorder;CL;adresser serrer;17501.63;5715.97
4;rédaction actionnaire;cocorico timide;BY;du moment que un peu quitte à;11342.12;27536.55
5;pschitt a hôte;au moyen de;MO;à demi durant sombre;15965.53;8292.57
6;lorsque;de façon que ouin;CK;ha;8071.32;22980.81
7;si;cot cot police;BW;au point que large pourpre;18061.52;3782.38
8;parce que corps enseignant;du fait que pin-pon;KW;clientèle solliciter spécialiste;28463.36;20953.49
9;à bas de énergique serviable;deçà au cas où à travers;LU;au point que fort concurrence;19611.81;13841.98
10;quand à même;du moment que triste groin groin;RW;maigre plaire à bas de;10956.39;5300.93
