id;reference;transaction_date;sender_number;sender_wallet;receiver_number;receiver_wallet;transaction_status;pay_in_status;pay_out_status;amount;object;pay_in_failure_reason;pay_out_failure_reason;sender_country_name;receiver_country_name
1;outre dissiper;2024-10-19T09:32:56;contenter diablement;ding magnifique grâce à;éclater adversaire en guise de;au cas où au cas où;SUCCESS;FAILURE;PENDING;4685.25;assister;à l'instar de au lieu de;brûler au moyen de spécialiste;parler;contester parce que prétendre
2;vorace infiniment;2024-10-19T06:09:55;mépriser sympathique;déclencher percer débile;que;maigre partenaire;PENDING;PENDING;FAILURE;11843;serviable bientôt;asseoir;camarade retirer;barrer aussitôt partenaire;comme paf
3;pff quitter;2024-10-19T17:18:27;rédaction plaider atchoum;plouf;psitt nouer;restreindre;SUCCESS;FAILURE;FAILURE;18837.09;cadre avare;étant donné que;splendide sous couleur de spécialiste;à défaut de  tant que;areu areu loufoque pendant
4;tendre;2024-10-19T11:12:04;triangulaire tandis que lors de;de manière à;avant de quant à débattre;ah au moyen de presque;FAILURE;PENDING;FAILURE;21159.13;oh un peu;raide;pendant que spécialiste;bon;personnel
5;derrière pater;2024-10-19T02:21:41;lors de;loin de vide;tandis que orange insipide;cuicui sans que;FAILURE;FAILURE;SUCCESS;22385.9;responsable;protester puiser;quoique;céans;de façon que en decà de maintenant
6;chut;2024-10-19T15:26:33;franco;sombre police;vroum de manière à ce que beaucoup;ding d’autant que;SUCCESS;SUCCESS;FAILURE;32346.97;circulaire;triathlète sitôt que;référer;malade extrêmement;au cas où atchoum
7;au-dedans de;2024-10-19T17:39:11;avex;dès que du fait que;diététiste fonctionnaire;trop;FAILURE;FAILURE;PENDING;3318.08;au dépens de d'entre;atchoum hé plaisanter;vétuste du fait que minuscule;naguère chasser;si
8;en dehors de sans que;2024-10-19T06:07:06;agréable parlementaire prou;ouch;sans que;à moins de touriste groin groin;PENDING;SUCCESS;PENDING;17732.59;davantage entre du moment que;touchant blablabla inciter;loin de;outre;jeune enfant adversaire tellement
9;adversaire présidence bè;2024-10-19T05:58:10;si bien que;contourner mordre snif;efficace;crac cuicui;SUCCESS;SUCCESS;PENDING;29849.49;prout snif;candide;cot cot;diplomate hirsute diablement;triathlète après
10;au lieu de très;2024-10-19T04:10:24;auprès de malgré au point que;autour;snif toc-toc;à bas de malgré;PENDING;PENDING;FAILURE;1886.03;dès que;composer;au-devant foule;aux environs de même si instruire;donner
